Date,Demand (kW)
01/01/40,100
02/01/40,100
03/01/40,100
04/01/40,100
05/01/40,100
06/01/40,100
07/01/40,100
08/01/40,100
09/01/40,100
10/01/40,100
11/01/40,100
12/01/40,100
13/01/40,100
14/01/40,100
15/01/40,100
16/01/40,100
17/01/40,100
18/01/40,100
19/01/40,100
20/01/40,100
21/01/40,100
22/01/40,100
23/01/40,100
24/01/40,100
25/01/40,100
26/01/40,100
27/01/40,100
28/01/40,100
29/01/40,100
30/01/40,100
31/01/40,100
01/02/40,100
02/02/40,100
03/02/40,100
04/02/40,100
05/02/40,100
06/02/40,100
07/02/40,100
08/02/40,100
09/02/40,100
10/02/40,100
11/02/40,100
12/02/40,100
13/02/40,100
14/02/40,100
15/02/40,100
16/02/40,100
17/02/40,100
18/02/40,100
19/02/40,100
20/02/40,100
21/02/40,100
22/02/40,100
23/02/40,100
24/02/40,100
25/02/40,100
26/02/40,100
27/02/40,100
28/02/40,100
29/02/40,100
01/03/40,100
02/03/40,100
03/03/40,100
04/03/40,100
05/03/40,100
06/03/40,100
07/03/40,100
08/03/40,100
09/03/40,100
10/03/40,100
11/03/40,100
12/03/40,100
13/03/40,100
14/03/40,100
15/03/40,100
16/03/40,100
17/03/40,100
18/03/40,100
19/03/40,100
20/03/40,100
21/03/40,100
22/03/40,100
23/03/40,100
24/03/40,100
25/03/40,100
26/03/40,100
27/03/40,100
28/03/40,100
29/03/40,100
30/03/40,100
31/03/40,100
01/04/40,100
02/04/40,100
03/04/40,100
04/04/40,100
05/04/40,100
06/04/40,100
07/04/40,100
08/04/40,100
09/04/40,100
10/04/40,100
11/04/40,100
12/04/40,100
13/04/40,100
14/04/40,100
15/04/40,100
16/04/40,100
17/04/40,100
18/04/40,100
19/04/40,100
20/04/40,100
21/04/40,100
22/04/40,100
23/04/40,100
24/04/40,100
25/04/40,100
26/04/40,100
27/04/40,100
28/04/40,100
29/04/40,100
30/04/40,100
01/05/40,100
02/05/40,100
03/05/40,100
04/05/40,100
05/05/40,100
06/05/40,100
07/05/40,100
08/05/40,100
09/05/40,100
10/05/40,100
11/05/40,100
12/05/40,100
13/05/40,100
14/05/40,100
15/05/40,100
16/05/40,100
17/05/40,100
18/05/40,100
19/05/40,100
20/05/40,100
21/05/40,100
22/05/40,100
23/05/40,100
24/05/40,100
25/05/40,100
26/05/40,100
27/05/40,100
28/05/40,100
29/05/40,100
30/05/40,100
31/05/40,100
01/06/40,100
02/06/40,100
03/06/40,100
04/06/40,100
05/06/40,100
06/06/40,100
07/06/40,100
08/06/40,100
09/06/40,100
10/06/40,100
11/06/40,100
12/06/40,100
13/06/40,100
14/06/40,100
15/06/40,100
16/06/40,100
17/06/40,100
18/06/40,100
19/06/40,100
20/06/40,100
21/06/40,100
22/06/40,100
23/06/40,100
24/06/40,100
25/06/40,100
26/06/40,100
27/06/40,100
28/06/40,100
29/06/40,100
30/06/40,100
01/07/40,100
02/07/40,100
03/07/40,100
04/07/40,100
05/07/40,100
06/07/40,100
07/07/40,100
08/07/40,100
09/07/40,100
10/07/40,100
11/07/40,100
12/07/40,100
13/07/40,100
14/07/40,100
15/07/40,100
16/07/40,100
17/07/40,100
18/07/40,100
19/07/40,100
20/07/40,100
21/07/40,100
22/07/40,100
23/07/40,100
24/07/40,100
25/07/40,100
26/07/40,100
27/07/40,100
28/07/40,100
29/07/40,100
30/07/40,100
31/07/40,100
01/08/40,100
02/08/40,100
03/08/40,100
04/08/40,100
05/08/40,100
06/08/40,100
07/08/40,100
08/08/40,100
09/08/40,100
10/08/40,100
11/08/40,100
12/08/40,100
13/08/40,100
14/08/40,100
15/08/40,100
16/08/40,100
17/08/40,100
18/08/40,100
19/08/40,100
20/08/40,100
21/08/40,100
22/08/40,100
23/08/40,100
24/08/40,100
25/08/40,100
26/08/40,100
27/08/40,100
28/08/40,100
29/08/40,100
30/08/40,100
31/08/40,100
01/09/40,100
02/09/40,100
03/09/40,100
04/09/40,100
05/09/40,100
06/09/40,100
07/09/40,100
08/09/40,100
09/09/40,100
10/09/40,100
11/09/40,100
12/09/40,100
13/09/40,100
14/09/40,100
15/09/40,100
16/09/40,100
17/09/40,100
18/09/40,100
19/09/40,100
20/09/40,100
21/09/40,100
22/09/40,100
23/09/40,100
24/09/40,100
25/09/40,100
26/09/40,100
27/09/40,100
28/09/40,100
29/09/40,100
30/09/40,100
01/10/40,100
02/10/40,100
03/10/40,100
04/10/40,100
05/10/40,100
06/10/40,100
07/10/40,100
08/10/40,100
09/10/40,100
10/10/40,100
11/10/40,100
12/10/40,100
13/10/40,100
14/10/40,100
15/10/40,100
16/10/40,100
17/10/40,100
18/10/40,100
19/10/40,100
20/10/40,100
21/10/40,100
22/10/40,100
23/10/40,100
24/10/40,100
25/10/40,100
26/10/40,100
27/10/40,100
28/10/40,100
29/10/40,100
30/10/40,100
31/10/40,100
01/11/40,100
02/11/40,100
03/11/40,100
04/11/40,100
05/11/40,100
06/11/40,100
07/11/40,100
08/11/40,100
09/11/40,100
10/11/40,100
11/11/40,100
12/11/40,100
13/11/40,100
14/11/40,100
15/11/40,100
16/11/40,100
17/11/40,100
18/11/40,100
