Year,Date,Heat Demand (kW)
2040,2040-01-01,100.0
2040,2040-01-02,100.0
2040,2040-01-03,100.0
2040,2040-01-04,100.0
2040,2040-01-05,100.0
2040,2040-01-06,100.0
2040,2040-01-07,100.0
2040,2040-01-08,100.0
2040,2040-01-09,100.0
2040,2040-01-10,100.0
2040,2040-01-11,100.0
2040,2040-01-12,100.0
2040,2040-01-13,100.0
2040,2040-01-14,100.0
2040,2040-01-15,100.0
2040,2040-01-16,100.0
2040,2040-01-17,100.0
2040,2040-01-18,100.0
2040,2040-01-19,100.0
2040,2040-01-20,100.0
2040,2040-01-21,100.0
2040,2040-01-22,100.0
2040,2040-01-23,100.0
2040,2040-01-24,100.0
2040,2040-01-25,100.0
2040,2040-01-26,100.0
2040,2040-01-27,100.0
2040,2040-01-28,100.0
2040,2040-01-29,100.0
2040,2040-01-30,100.0
2040,2040-01-31,100.0
2040,2040-02-01,100.0
2040,2040-02-02,100.0
2040,2040-02-03,100.0
2040,2040-02-04,100.0
2040,2040-02-05,100.0
2040,2040-02-06,100.0
2040,2040-02-07,100.0
2040,2040-02-08,100.0
2040,2040-02-09,100.0
2040,2040-02-10,100.0
2040,2040-02-11,100.0
2040,2040-02-12,100.0
2040,2040-02-13,100.0
2040,2040-02-14,100.0
2040,2040-02-15,100.0
2040,2040-02-16,100.0
2040,2040-02-17,100.0
2040,2040-02-18,100.0
2040,2040-02-19,100.0
2040,2040-02-20,100.0
2040,2040-02-21,100.0
2040,2040-02-22,100.0
2040,2040-02-23,100.0
2040,2040-02-24,100.0
2040,2040-02-25,100.0
2040,2040-02-26,100.0
2040,2040-02-27,100.0
2040,2040-02-28,100.0
2040,2040-02-29,100.0
2040,2040-03-01,100.0
2040,2040-03-02,100.0
2040,2040-03-03,100.0
2040,2040-03-04,100.0
2040,2040-03-05,100.0
2040,2040-03-06,100.0
2040,2040-03-07,100.0
2040,2040-03-08,100.0
2040,2040-03-09,100.0
2040,2040-03-10,100.0
2040,2040-03-11,100.0
2040,2040-03-12,100.0
2040,2040-03-13,100.0
2040,2040-03-14,100.0
2040,2040-03-15,100.0
2040,2040-03-16,100.0
2040,2040-03-17,100.0
2040,2040-03-18,100.0
2040,2040-03-19,100.0
2040,2040-03-20,100.0
2040,2040-03-21,100.0
2040,2040-03-22,100.0
2040,2040-03-23,100.0
2040,2040-03-24,100.0
2040,2040-03-25,100.0
2040,2040-03-26,100.0
2040,2040-03-27,100.0
2040,2040-03-28,100.0
2040,2040-03-29,100.0
2040,2040-03-30,100.0
2040,2040-03-31,100.0
2040,2040-04-01,100.0
2040,2040-04-02,100.0
2040,2040-04-03,100.0
2040,2040-04-04,100.0
2040,2040-04-05,100.0
2040,2040-04-06,100.0
2040,2040-04-07,100.0
2040,2040-04-08,100.0
2040,2040-04-09,100.0
2040,2040-04-10,100.0
2040,2040-04-11,100.0
2040,2040-04-12,100.0
2040,2040-04-13,100.0
2040,2040-04-14,100.0
2040,2040-04-15,100.0
2040,2040-04-16,100.0
2040,2040-04-17,100.0
2040,2040-04-18,100.0
2040,2040-04-19,100.0
2040,2040-04-20,100.0
2040,2040-04-21,100.0
2040,2040-04-22,100.0
2040,2040-04-23,100.0
2040,2040-04-24,100.0
2040,2040-04-25,100.0
2040,2040-04-26,100.0
2040,2040-04-27,100.0
2040,2040-04-28,100.0
2040,2040-04-29,100.0
2040,2040-04-30,100.0
2040,2040-05-01,100.0
2040,2040-05-02,100.0
2040,2040-05-03,100.0
2040,2040-05-04,100.0
2040,2040-05-05,100.0
2040,2040-05-06,100.0
2040,2040-05-07,100.0
2040,2040-05-08,100.0
2040,2040-05-09,100.0
2040,2040-05-10,100.0
2040,2040-05-11,100.0
2040,2040-05-12,100.0
2040,2040-05-13,100.0
2040,2040-05-14,100.0
2040,2040-05-15,100.0
2040,2040-05-16,100.0
2040,2040-05-17,100.0
2040,2040-05-18,100.0
2040,2040-05-19,100.0
2040,2040-05-20,100.0
2040,2040-05-21,100.0
2040,2040-05-22,100.0
2040,2040-05-23,100.0
2040,2040-05-24,100.0
2040,2040-05-25,100.0
2040,2040-05-26,100.0
2040,2040-05-27,100.0
2040,2040-05-28,100.0
2040,2040-05-29,100.0
2040,2040-05-30,100.0
2040,2040-05-31,100.0
2040,2040-06-01,100.0
2040,2040-06-02,100.0
2040,2040-06-03,100.0
2040,2040-06-04,100.0
2040,2040-06-05,100.0
2040,2040-06-06,100.0
2040,2040-06-07,100.0
2040,2040-06-08,100.0
2040,2040-06-09,100.0
2040,2040-06-10,100.0
2040,2040-06-11,100.0
2040,2040-06-12,100.0
2040,2040-06-13,100.0
2040,2040-06-14,100.0
2040,2040-06-15,100.0
2040,2040-06-16,100.0
2040,2040-06-17,100.0
2040,2040-06-18,100.0
2040,2040-06-19,100.0
2040,2040-06-20,100.0
2040,2040-06-21,100.0
2040,2040-06-22,100.0
2040,2040-06-23,100.0
2040,2040-06-24,100.0
2040,2040-06-25,100.0
2040,2040-06-26,100.0
2040,2040-06-27,100.0
2040,2040-06-28,100.0
2040,2040-06-29,100.0
2040,2040-06-30,100.0
2040,2040-07-01,100.0
2040,2040-07-02,100.0
2040,2040-07-03,100.0
2040,2040-07-04,100.0
2040,2040-07-05,100.0
2040,2040-07-06,100.0
2040,2040-07-07,100.0
2040,2040-07-08,100.0
2040,2040-07-09,100.0
2040,2040-07-10,100.0
2040,2040-07-11,100.0
2040,2040-07-12,100.0
2040,2040-07-13,100.0
2040,2040-07-14,100.0
2040,2040-07-15,100.0
2040,2040-07-16,100.0
2040,2040-07-17,100.0
2040,2040-07-18,100.0
2040,2040-07-19,100.0
2040,2040-07-20,100.0
2040,2040-07-21,100.0
2040,2040-07-22,100.0
2040,2040-07-23,100.0
2040,2040-07-24,100.0
2040,2040-07-25,100.0
2040,2040-07-26,100.0
2040,2040-07-27,100.0
2040,2040-07-28,100.0
2040,2040-07-29,100.0
2040,2040-07-30,100.0
2040,2040-07-31,100.0
2040,2040-08-01,100.0
2040,2040-08-02,100.0
2040,2040-08-03,100.0
2040,2040-08-04,100.0
2040,2040-08-05,100.0
2040,2040-08-06,100.0
2040,2040-08-07,100.0
2040,2040-08-08,100.0
2040,2040-08-09,100.0
