timestep,electricity_kW,heat_kW
0,40.0,120.0
1,40.0,120.0
2,40.0,120.0
3,40.0,120.0
4,40.0,120.0
5,40.0,120.0
6,50.0,100.0
7,52.5,100.0
8,55.0,100.0
9,57.5,100.0
10,60.0,100.0
11,50.0,90.0
12,50.0,90.0
13,50.0,90.0
14,50.0,90.0
15,50.0,90.0
16,50.0,90.0
17,50.0,90.0
18,60.0,100.0
19,60.0,100.0
20,60.0,100.0
21,60.0,100.0
22,50.0,100.0
23,50.0,100.0
24,40.0,120.0
25,40.0,120.0
26,40.0,120.0
27,40.0,120.0
28,40.0,120.0
29,40.0,120.0
30,50.0,100.0
31,52.5,100.0
32,55.0,100.0
33,57.5,100.0
34,60.0,100.0
35,50.0,90.0
36,50.0,90.0
37,50.0,90.0
38,50.0,90.0
39,50.0,90.0
40,50.0,90.0
41,50.0,90.0
42,60.0,100.0
43,60.0,100.0
44,60.0,100.0
45,60.0,100.0
46,50.0,100.0
47,50.0,100.0
48,40.0,120.0
49,40.0,120.0
50,40.0,120.0
51,40.0,120.0
52,40.0,120.0
53,40.0,120.0
54,50.0,100.0
55,52.5,100.0
56,55.0,100.0
57,57.5,100.0
58,60.0,100.0
59,50.0,90.0
60,50.0,90.0
61,50.0,90.0
62,50.0,90.0
63,50.0,90.0
64,50.0,90.0
65,50.0,90.0
66,60.0,100.0
67,60.0,100.0
68,60.0,100.0
69,60.0,100.0
70,50.0,100.0
71,50.0,100.0
72,40.0,120.0
73,40.0,120.0
74,40.0,120.0
75,40.0,120.0
76,40.0,120.0
77,40.0,120.0
78,50.0,100.0
79,52.5,100.0
80,55.0,100.0
81,57.5,100.0
82,60.0,100.0
83,50.0,90.0
84,50.0,90.0
85,50.0,90.0
86,50.0,90.0
87,50.0,90.0
88,50.0,90.0
89,50.0,90.0
90,60.0,100.0
91,60.0,100.0
92,60.0,100.0
93,60.0,100.0
94,50.0,100.0
95,50.0,100.0
96,40.0,120.0
97,40.0,120.0
98,40.0,120.0
99,40.0,120.0
100,40.0,120.0
101,40.0,120.0
102,50.0,100.0
103,52.5,100.0
104,55.0,100.0
105,57.5,100.0
106,60.0,100.0
107,50.0,90.0
108,50.0,90.0
109,50.0,90.0
110,50.0,90.0
111,50.0,90.0
112,50.0,90.0
113,50.0,90.0
114,60.0,100.0
115,60.0,100.0
116,60.0,100.0
117,60.0,100.0
118,50.0,100.0
119,50.0,100.0
120,40.0,120.0
121,40.0,120.0
122,40.0,120.0
123,40.0,120.0
124,40.0,120.0
125,40.0,120.0
126,50.0,100.0
127,52.5,100.0
128,55.0,100.0
129,57.5,100.0
130,60.0,100.0
131,50.0,90.0
132,50.0,90.0
133,50.0,90.0
134,50.0,90.0
135,50.0,90.0
136,50.0,90.0
137,50.0,90.0
138,60.0,100.0
139,60.0,100.0
140,60.0,100.0
141,60.0,100.0
